id,MeasurementType,Who,Type,Membrane,Arc_time,Arc_power,Gap_offset,Gap,Overlap,Laser_power,OP_before,V_avg_before_splice,L_cleave_angle,R_cleave_angle,L_fiber_angle,R_fiber_angle,Splice_loss_machine,MFD_mismatch,Core_bending,Axis_offset,OP_after,V_avg_after_splice,System_loss,Splice_loss,Total_loss,Result,Loss_difference,Percent_Off,Total_cleave_angle,Total_Fiber_Angle
1,Reference,Chris,Silica,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.437745016,4.377450156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0.577487942659034,NaN,NaN,reference,NaN,NaN,NaN,NaN
2,Splice,Chris,Silica,0,3000,15,45,90,10,0.5,0.437745016,4.377450156,3.3,0.3,0.1,0,0.02,0,0.01,0.01,0.433728806,4.337288062,0.577487942659034,0.040029433942551,0.617517376601585,pass,0.020029433942551,50.0367653744407,3.6,0.1
3,Splice,Chris,Silica,0,3000,15,0,15,10,0.5,0.437745016,4.377450156,1,6.5,0,0,0.01,0,0.01,0,0.41430614,4.143061399,0.577487942659034,0.238998404977218,0.816486347636252,pass,0.228998404977218,95.8158716578241,7.5,0
4,Splice,Chris,Silica,0,3000,15,0,15,10,0.5,0.4377450156,4.377450156,0.8,7.6,0.4,0,0.01,0,0.01,0,0.421283514318302,4.21283514318302,0.577487946627504,0.166467450412596,0.7439553970401,pass,0.156467450412596,93.9928196321776,8.4,0.4
5,Splice,Chris,Silica,0,3000,15,0,15,10,0.5,0.4377450156,4.377450156,0.9,0.6,0,0,0.01,0,0,0.01,0.434386307077778,4.34386307077778,0.577487946627504,0.0334508290437807,0.610938775671284,pass,0.0234508290437807,70.1053747071203,1.5,0
6,Splice,Lev,Silica,0,3000,15,0,15,10,0.5,0.4377450156,4.377450156,0.5,1,0.3,0,0.01,0,0,0,0.436492810041783,4.36492810041783,0.577487946627504,0.0124411531987279,0.589929099826232,pass,0.00244115319872795,19.6215990570516,1.5,0.3
7,Splice,Lev,Silica,0,3000,15,25,50,10,0.5,0.4377450156,4.377450156,1.2,3.8,0.2,0,0.01,0,0.01,0,0.429841648596639,4.29841648596639,0.577487946627504,0.0791271643458744,0.656615110973378,pass,0.0691271643458744,87.3621150427067,5,0.2
8,Splice,Lev,Silica,0,3000,15,25,50,10,0.5,0.4377450156,4.377450156,1.2,3.8,0.2,0,0.01,0,0,0.01,0.429701524473389,4.29701524473389,0.577487946627504,0.0805431521858046,0.658031098813308,pass,0.0705431521858046,87.5842952149041,5,0.2
9,Splice,Lev,Silica,0,3000,15,20,10,10,0.5,0.4377450156,4.377450156,1.2,2.8,0,0,0.01,0,0.01,0.01,0.434799868111732,4.34799868111732,0.577487946627504,0.0293180599396025,0.606806006567106,pass,0.0193180599396025,65.8913310751094,4,0
10,Splice,Lev,Silica,0,3000,15,150,10,10,0.5,0.4377450156,4.377450156,0.5,1.7,0,0,1.22,0,0.01,1.21,0.309996420277311,3.09996420277311,0.577487946627504,1.49864530880244,2.07613325542994,fail,0.278645308802435,18.593145900887,2.2,0
11,Splice,Lev,Silica,0,3000,15,150,10,10,0.5,0.4377450156,4.377450156,0.5,1.7,0,0,1.18,0,0.01,1.17,0.301669606602778,3.01669606602778,0.577487946627504,1.61689652728693,2.19438447391443,fail,0.436896527286931,27.0206856106013,2.2,0
12,Splice,Lev,Silica,0,3000,15,150,10,10,0.5,0.4377450156,4.377450156,0.5,1.7,0,0,1.15,0,0.01,1.14,0.296923879373259,2.96923879373259,0.577487946627504,1.6857608360633,2.26324878269081,fail,0.535760836063303,31.781544843244,2.2,0
13,Splice,Lev,Silica,0,3000,15,75,10,10,0.5,0.4377450156,4.377450156,4.7,0.6,0.2,0,0.21,0,0.04,0.17,0.406500966289694,4.06500966289694,0.577487946627504,0.321596273845511,0.899084220473014,pass,0.111596273845511,34.7007359603674,5.3,0.2
14,Splice,Lev,Silica,0,3000,15,75,10,10,0.5,0.4377450156,4.377450156,4.7,0.6,0.2,0,0.14,0,0.03,0.11,0.408881131938719,4.08881131938719,0.577487946627504,0.296241394318719,0.873729340946222,pass,0.156241394318719,52.7412432276843,5.3,0.2
15,Splice,Lev,Silica,0,3000,15,50,10,10,0.5,0.4377450156,4.377450156,1,0.6,0,0,0.04,0,0,0.04,0.426620916392758,4.26620916392758,0.577487946627504,0.111790654251418,0.689278600878921,pass,0.0717906542514177,64.2188336155187,1.6,0
