id,MeasurementType,Who,Type,Membrane,Arc_time,Arc_power,Gap_offset,Gap,Overlap,Laser_power,OP_before,V_avg_before_splice,membrane
1,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.407619677373626,4.07619677373626,NaN
2,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.40766449203794,4.0766449203794,NaN
3,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.407715713825397,4.07715713825397,NaN
4,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.407755466687831,4.07755466687831,NaN
5,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.407944458145119,4.07944458145119,NaN
6,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408017737131579,4.08017737131579,NaN
7,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408114335267196,4.08114335267196,NaN
8,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408211221507895,4.08211221507895,NaN
9,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408295609978892,4.08295609978892,NaN
10,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408380449619303,4.08380449619303,NaN
11,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408446414714286,4.08446414714286,NaN
12,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.4085120575,4.085120575,NaN
13,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408590380502747,4.08590380502747,NaN
14,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408653900400552,4.08653900400552,NaN
15,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408728671791781,4.08728671791781,NaN
16,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408769576761394,4.08769576761394,NaN
17,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408858283071823,4.08858283071823,NaN
18,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408932774742382,4.08932774742382,NaN
19,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.40906045189415,4.0906045189415,NaN
20,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.409093377575843,4.09093377575843,NaN
