id,MeasurementType,Who,Type,Membrane,Arc_time,Arc_power,Gap_offset,Gap,Overlap,Laser_power,OP_before,V_avg_before_splice,L_cleave_angle,R_cleave_angle,L_fiber_angle,R_fiber_angle,Splice_loss_machine,MFD_mismatch,Core_bending,Axis_offset,OP_after,V_avg_after_splice,System_loss,Splice_loss,Total_loss,Result,Loss_difference,Percent_Off,Total_cleave_angle,Total_Fiber_Angle,membrane
1,Reference,Chris,Silica,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.407745016,4.077450156,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,reference,NaN,NaN,NaN,NaN,NaN
2,Splice,Chris,Silica,0,3000,15,75,5,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.386560085,3.865600851,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
3,Splice,Chris,Silica,0,3000,15,75,6,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.386214534,3.862145335,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
4,Splice,Chris,Silica,0,3000,15,75,7,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.381407949,3.814079491,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
5,Splice,Chris,Silica,0,3000,15,75,8,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.380558388,3.805583881,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
6,Splice,Chris,Silica,0,3000,15,75,9,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.385720739,3.857207386,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
7,Splice,Chris,Silica,0,3000,15,75,10,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.375485839,3.754858391,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
8,Splice,Chris,Silica,0,3000,15,75,11,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.380008804,3.800088044,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
9,Splice,Chris,Silica,0,3000,15,75,12,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.354369933,3.543699326,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
10,Splice,Chris,Silica,0,3000,15,75,13,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.37822689,3.782268902,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
11,Splice,Chris,Silica,0,3000,15,75,14,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.367336919,3.673369187,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
12,Splice,Chris,Silica,0,3000,15,75,15,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.363429296,3.634292958,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
13,Splice,Chris,Silica,0,3000,15,75,16,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.356051618,3.560516183,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
14,Splice,Chris,Silica,0,3000,15,75,17,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.375056793,3.750567935,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
15,Splice,Chris,Silica,0,3000,15,75,18,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.359477664,3.594776638,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
16,Splice,Chris,Silica,0,3000,15,75,19,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.359290829,3.592908289,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
17,Splice,Chris,Silica,0,3000,15,75,20,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.373133212,3.731332123,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
18,Splice,Chris,Silica,0,3000,15,75,21,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.353889984,3.538899841,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
19,Splice,Chris,Silica,0,3000,15,75,22,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.355296116,3.552961157,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
20,Splice,Chris,Silica,0,3000,15,75,23,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.347283597,3.472835968,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
21,Splice,Chris,Silica,0,3000,15,75,24,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.342155908,3.421559076,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
22,Splice,Chris,Silica,0,3000,15,75,25,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.343139217,3.431392165,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
23,Splice,Chris,Silica,0,3000,15,75,26,5,0.5,0.407745016,4.077450156,0,0,0,0,0,0,0,0,0.339092356,3.390923555,NaN,NaN,NaN,,NaN,NaN,NaN,NaN,NaN
