id,MeasurementType,Who,Type,Membrane,Arc_time,Arc_power,Gap_offset,Gap,Overlap,Laser_power,OP_before,V_avg_before_splice,membrane
1,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.39769974,3.9769974,NaN
2,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.387865988,3.87865988,NaN
3,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.413162605,4.131626047,NaN
4,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.360630703,3.606307027,NaN
5,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.399456602,3.994566025,NaN
6,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.391667194,3.916671941,NaN
7,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.392324127,3.92324127,NaN
8,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.391198946,3.911989458,NaN
9,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.372052682,3.72052682,NaN
10,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.394966231,3.949662311,NaN
11,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.40459453,4.045945299,NaN
12,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.371039753,3.71039753,NaN
13,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.411656589,4.116565891,NaN
14,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.410246331,4.102463308,NaN
15,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.387498969,3.874989688,NaN
16,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.362463759,3.624637588,NaN
17,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.396588558,3.965885579,NaN
18,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.395041858,3.95041858,NaN
19,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.386162877,3.861628771,NaN
20,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.409486044,4.094860445,NaN
21,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.409430201,4.094302014,NaN
22,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.403722574,4.037225738,NaN
23,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.40155183,4.015518301,NaN
24,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.397693998,3.976939978,NaN
25,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.374136664,3.741366641,NaN
26,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.375999482,3.759994825,NaN
27,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.371217411,3.712174107,NaN
28,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.373435127,3.734351273,NaN
29,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.392565168,3.925651676,NaN
30,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.414928279,4.149282795,NaN
31,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.373919334,3.739193341,NaN
32,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.396026357,3.960263571,NaN
33,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.39115042,3.911504202,NaN
34,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.381103963,3.81103963,NaN
35,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.396634597,3.966345968,NaN
36,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.401902626,4.019026264,NaN
37,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.401549436,4.015494357,NaN
38,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.401088687,4.010886867,NaN
39,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.393153179,3.931531788,NaN
40,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.407436138,4.074361384,NaN
41,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.408832854,4.088328544,NaN
42,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.374779873,3.747798731,NaN
43,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.393505151,3.93505151,NaN
44,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.417242337,4.172423369,NaN
45,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.420319953,4.203199534,NaN
46,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.412242761,4.122427611,NaN
47,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.416753491,4.167534907,NaN
48,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.39556317,3.955631704,NaN
49,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.406849778,4.068497784,NaN
50,Reference,Chris,Silica,0,NaN,NaN,NaN,NaN,NaN,0.5,0.380498474,3.804984743,NaN
